,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_source[356],1.02,0.337,0.321,1.644,0.003,0.002,9565.0,11030.0,1.0
z_source[357],1.049,0.377,0.294,1.764,0.004,0.003,7821.0,10567.0,1.0
z_source[358],0.365,0.413,-0.461,1.156,0.004,0.003,9986.0,11236.0,1.0
z_source[359],1.545,0.386,0.799,2.309,0.004,0.003,7862.0,11091.0,1.0
z_source[360],1.394,0.38,0.652,2.139,0.004,0.003,7825.0,11231.0,1.0
z_source[361],1.028,0.41,0.208,1.815,0.004,0.003,9399.0,11706.0,1.0
z_source[362],0.724,0.405,-0.06,1.516,0.004,0.003,11902.0,12214.0,1.0
z_source[363],-0.071,0.436,-0.949,0.756,0.004,0.003,13731.0,11112.0,1.0
z_source[364],-0.433,0.452,-1.308,0.464,0.004,0.003,14590.0,12264.0,1.0
z_source[365],-0.836,0.454,-1.724,0.062,0.004,0.004,15611.0,12092.0,1.0
z_source[366],-0.369,0.488,-1.325,0.595,0.004,0.004,15795.0,10950.0,1.0
z_source[367],-0.571,0.911,-2.413,1.127,0.005,0.009,39713.0,11408.0,1.0
z_source[368],-1.962,0.418,-2.82,-1.172,0.005,0.003,7940.0,9720.0,1.0
z_source[369],-1.085,0.609,-2.247,0.119,0.005,0.005,18193.0,10996.0,1.0
z_source[370],-0.377,0.646,-1.641,0.87,0.004,0.006,22889.0,10839.0,1.0
z_source[371],2.498,0.434,1.699,3.397,0.004,0.003,9594.0,12443.0,1.0
z_source[372],0.358,0.4,-0.429,1.139,0.004,0.003,11109.0,11689.0,1.0
z_source[373],0.333,0.486,-0.636,1.266,0.004,0.004,17544.0,11527.0,1.0
z_source[374],2.81,0.505,1.788,3.783,0.004,0.004,13046.0,12304.0,1.0
z_source[375],1.026,0.529,-0.002,2.079,0.004,0.005,19211.0,10848.0,1.0
z_source[376],-0.325,0.965,-2.215,1.596,0.005,0.01,36666.0,10279.0,1.0
z_source[377],-0.141,0.988,-2.098,1.783,0.005,0.01,35295.0,10550.0,1.0
z_source[378],0.339,0.727,-1.13,1.718,0.004,0.007,36498.0,10954.0,1.0
z_source[379],-0.685,0.835,-2.318,0.952,0.005,0.008,32861.0,11321.0,1.0
z_source[380],-0.009,0.849,-1.617,1.681,0.004,0.009,37188.0,10659.0,1.0
z_source[381],-0.729,0.789,-2.258,0.859,0.004,0.008,36115.0,10430.0,1.0
z_source[382],-0.332,0.688,-1.716,0.965,0.004,0.007,30650.0,11211.0,1.0
z_source[383],-0.27,0.76,-1.781,1.179,0.004,0.008,40765.0,11327.0,1.0
z_source[384],-0.26,0.672,-1.557,1.042,0.004,0.006,30414.0,11543.0,1.0
z_source[385],0.29,0.681,-1.097,1.591,0.004,0.006,24599.0,11432.0,1.0
z_source[386],1.088,0.546,0.009,2.146,0.004,0.005,16295.0,11440.0,1.0
